[2026-01-06 07:25:50] ALERT | Type: DoS | Severity: High | Confidence: 0.975
[2026-01-06 07:25:50] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: R2L | Severity: Medium | Confidence: 0.99
[2026-01-06 07:25:50] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: Probe | Severity: High | Confidence: 0.99
[2026-01-06 07:25:50] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:50] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 0.99
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 0.999
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 0.995
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 0.995
[2026-01-06 07:25:51] ALERT | Type: DoS | Severity: High | Confidence: 0.975
[2026-01-06 07:25:51] ALERT | Type: Probe | Severity: High | Confidence: 0.995
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 0.98
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 0.995
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:51] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: U2R | Severity: Critical | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: Probe | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: DoS | Severity: High | Confidence: 1.0
[2026-01-06 07:25:52] ALERT | Type: R2L | Severity: Medium | Confidence: 1.0
